Type of abuse,No of complaints
14. ACO -  Restriction on payment,1
27A. ACO - Unlawful custody,4
286A. Obscene publication,23
288. Procuring to beg,299
288B. Trafficking Restricted Articles,29
308. Exposure and Abandonment,2
308A. Cruelty to Children,2342
345. Sexual Harassment,594
35. CYPO -  Child or Young Person in need of C&P,7
352. Kidnapping from lawful guardianship,109
353. Abduction,44
360B. Sexual Exploitation of Children,4
360C. Trafficking,119
360E. Soliciting a child,14
363. Rape,294
364A. Incest,1
365. Unnatural Offence,1
365A. Gross Indecency,1
365B. Grave sexual abuse,288
71. CYPO -  Neglect of Children,906
76. CYPO -  Sale of tobacco,1
Child Labor,265
Compulsory Education,1290
Domestic Violence,79
Juvenile Delinquency,337
MISC.,1505
Total,8558
